name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
Beta Cancri b,290,7.8 Jupiters,3.51012,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7039/beta-cancri-b/
Beta Pictoris b,64,11.73313 Jupiters,3.85,2008,https://exoplanets.nasa.gov/exoplanet-catalog/7040/beta-pictoris-b/
Beta Pictoris c,64,10.14112 Jupiters,3.85,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7461/beta-pictoris-c/
Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7041/beta-ursae-minoris-b/
CD Ceti b,28,3.95 Earths,13.95,2020,https://exoplanets.nasa.gov/exoplanet-catalog/8025/cd-ceti-b/
CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6567/cfbdsir-j145829101343-b/
CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7861/cfhtwir-oph-98-b/
CHXR 73 b,621,12.569 Jupiters,17.2934,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6568/chxr-73-b/
CI Tauri b,515,11.6 Jupiters,13.642,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7422/ci-tauri-b/
COCONUTS-2 b,36,6.3 Jupiters,11.298,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7945/coconuts-2-b/
CoRoT-10 b,1104,2.75 Jupiters,15.293,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1327/corot-10-b/
CoRoT-11 b,2137,2.33 Jupiters,12.897,2010,https://exoplanets.nasa.gov/exoplanet-catalog/4931/corot-11-b/
CoRoT-12 b,3674,0.917 Jupiters,15.588,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1328/corot-12-b/
CoRoT-13 b,3748,1.308 Jupiters,15.005,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1329/corot-13-b/
CoRoT-14 b,5691,7.6 Jupiters,15.932,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1330/corot-14-b/
CoRoT-16 b,2389,0.535 Jupiters,16.052,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1331/corot-16-b/
CoRoT-17 b,3837,2.43 Jupiters,16.29,2011,https://exoplanets.nasa.gov/exoplanet-catalog/4932/corot-17-b/
CoRoT-18 b,2495,3.47 Jupiters,14.868,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1332/corot-18-b/
CoRoT-19 b,2579,1.11 Jupiters,14.135,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1333/corot-19-b/
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1237/corot-1-b/
CoRoT-20 b,2753,4.3 Jupiters,14.63,2011,https://exoplanets.nasa.gov/exoplanet-catalog/4933/corot-20-b/
CoRoT-20 c,2753,17 Jupiters,14.63,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6349/corot-20-c/
CoRoT-21 b,4563,2.26 Jupiters,16.058,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6429/corot-21-b/
CoRoT-22 b,2046,12.2 Earths,13.82,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1334/corot-22-b/
CoRoT-23 b,3461,2.8 Jupiters,15.675,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1335/corot-23-b/
